DIA_file	individual_id	directory
20190925_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample173.raw	F162	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190925_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample190.raw	F161	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190925_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample206.raw	F160	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample282.raw	F16	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190925_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample188.raw	F158	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190925_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample187.raw	F157	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190925_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample189.raw	F156	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190925_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample185.raw	F154	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190925_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample180.raw	F152	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190925_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample184.raw	F151	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
